,Price
2013-05-11,-0.017841971112999233
2013-05-12,-0.00692041522491349
2013-05-13,0.027874564459930307
2013-05-14,-0.055932203389830515
2013-05-15,0.025134649910233398
2013-05-16,0.035026269702276736
2013-05-17,0.04483925549915391
2013-05-18,-0.0024291497975708065
2013-05-19,-0.005681818181818232
2013-05-20,-0.004081632653061273
2013-05-21,0.007377049180327999
2013-05-22,0.007323026851098424
2013-05-23,0.020193861066235774
2013-05-24,0.05384006334125102
2013-05-25,-0.008264462809917328
2013-05-26,0.011363636363636465
2013-05-27,-0.027715355805243314
2013-05-28,-0.006163328197226536
2013-05-29,0.0255813953488373
2013-05-30,-0.026455026455026398
2013-05-31,0.0
2013-06-01,0.0038819875776396895
2013-06-02,-0.052590873936581684
2013-06-03,-0.014693877551020362
2013-06-04,0.0057995028997515075
2013-06-05,0.004118616144975329
2013-06-06,-0.02378999179655461
2013-06-07,-0.0672268907563025
2013-06-08,-0.027927927927927865
2013-06-09,-0.06950880444856344
2013-06-10,0.05876494023904377
2013-06-11,0.02539981185324547
2013-06-12,-0.0018348623853211565
2013-06-13,-0.04503676470588225
2013-06-14,-0.037536092396535214
2013-06-15,-0.0020000000000000018
2013-06-16,0.0010020040080160886
2013-06-17,0.020020020020020013
2013-06-18,0.05299313052011767
2013-06-19,0.009319664492078328
2013-06-20,0.027700831024930705
2013-06-21,-0.016172506738544423
2013-06-22,-0.01187214611872145
2013-06-23,-0.0027726432532346745
2013-06-24,-0.053753475440222576
2013-06-25,0.01175318315377094
2013-06-26,0.006776379477250849
2013-06-27,-0.022115384615384537
2013-06-28,-0.06882989183874144
2013-06-29,0.0031678986272438703
2013-06-30,0.026315789473684292
2013-07-01,-0.09641025641025647
2013-07-02,0.026106696935300988
2013-07-03,-0.12721238938053092
2013-07-04,0.0139416983523446
2013-07-05,-0.14375000000000004
2013-07-06,0.01751824817518255
2013-07-07,0.09756097560975596
2013-07-08,-0.006535947712418277
2013-07-09,0.009210526315789558
2013-07-10,0.1473272490221642
2013-07-11,0.011363636363636465
2013-07-12,0.05617977528089879
2013-07-13,0.04574468085106376
2013-07-14,-0.039674465920650936
2013-07-15,0.04766949152542366
2013-07-16,-0.018200202224469275
2013-07-17,0.014418125643666402
2013-07-18,-0.08527918781725896
2013-07-19,0.021087680355160954
2013-07-20,-0.023913043478260954
2013-07-21,0.024498886414253906
2013-07-22,-0.004347826086956608
2013-07-23,0.04366812227074246
2013-07-24,-0.005230125523012608
2013-07-25,0.018927444794952786
2013-07-26,-0.009287925696594534
2013-07-27,-0.016666666666666607
2013-07-28,0.0466101694915253
2013-07-29,0.027327935222672073
2013-07-30,0.0640394088669951
2013-07-31,-0.016666666666666607
2013-08-01,-0.020715630885122405
2013-08-02,0.004807692307692291
2013-08-03,0.003827751196172402
2013-08-04,0.0019065776930409228
2013-08-05,0.015223596574690745
2013-08-06,-0.0009372071227742307
2013-08-07,-0.0056285178236397115
2013-08-08,-0.027358490566037785
2013-08-09,-0.0029097963142580285
2013-08-10,0.0019455252918287869
2013-08-11,0.01941747572815533
2013-08-12,0.017142857142857126
2013-08-13,0.02621722846441954
2013-08-14,0.027372262773722733
2013-08-15,-0.023090586145648295
2013-08-16,-0.009090909090909038
2013-08-17,0.034862385321100975
2013-08-18,0.005319148936170359
2013-08-19,0.04497354497354489
2013-08-20,0.0227848101265824
2013-08-21,0.017326732673267342
2013-08-22,-0.010543390105433925
2013-08-23,-0.02868852459016391
2013-08-24,0.009282700421940904
2013-08-25,0.020903010033444858
2013-08-26,-0.016380016380016404
2013-08-27,0.09325562031640322
2013-08-28,-0.01904036557501909
2013-08-29,0.0038819875776396895
2013-08-30,0.06728538283062635
2013-08-31,0.021739130434782705
2013-09-01,0.03546099290780136
2013-09-02,-0.013698630136986356
2013-09-03,0.0
2013-09-04,-0.07986111111111116
2013-09-05,-0.017358490566037776
2013-09-06,-0.06374807987711206
2013-09-07,0.05824446267432326
2013-09-08,-0.020930232558139528
2013-09-09,0.05384006334125102
2013-09-10,-0.0037565740045079066
2013-09-11,0.0716440422322775
2013-09-12,-0.0190007037297677
